severity,code,archive,task_path,canonical_task_id,label,frame,details
info,missing_event_tags,kartheepan/P04_LL.zip,.,P04_LL,,,"both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,kartheepan/P05_LL.zip,.,P05_LL,,,"first_paddle_taken, paddles_firmly_on_chest, both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,kartheepan/P06_LL.zip,.,P06_LL,,,"paddles_firmly_on_chest, shock_delivered_on_screen"
info,missing_event_tags,kartheepan/P06_LS.zip,.,P06_LS,,,shock_delivered_on_screen
info,missing_event_tags,kartheepan/P06_T.zip,.,P06_T,,,"both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,kartheepan/P07_LL.zip,.,P07_LL,,,"second_paddle_taken, shock_delivered_on_screen"
info,missing_event_tags,kartheepan/P12_LL.zip,.,P12_LL,,,"Gel applied, paddles_firmly_on_chest, both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,kartheepan/P12_T.zip,.,P12_T,,,Gel applied
info,missing_event_tags,kartheepan/P13_LL.zip,.,P13_LL,,,"paddles_firmly_on_chest, both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,kartheepan/P14_LL.zip,.,P14_LL,,,"Gel applied, both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,kartheepan/P15_LL.zip,.,P15_LL,,,"paddles_firmly_on_chest, both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,kartheepan/P15_T.zip,.,P15_T,,,both_paddle_buttons_pressed
info,missing_event_tags,defibliration2.zip,task_44,P16_LL,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_42,P16_T,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_41,P17_LL,,,"both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,defibliration2.zip,task_39,P17_T,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_38,P18_LL,,,"both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,defibliration2.zip,task_36,P18_T,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_35,P19_LL,,,"both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,defibliration2.zip,task_34,P19_LS,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_33,P19_T,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_32,P20_LL,,,"both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,defibliration2.zip,task_30,P20_T,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_29,P21_LL,,,"paddles_firmly_on_chest, both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,defibliration2.zip,task_28,P21_LS,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_27,P21_T,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_26,P22_LL,,,"both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,defibliration2.zip,task_25,P22_LS,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_24,P22_T,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_23,P23_LL,,,"both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,defibliration2.zip,task_22,P23_LS,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_21,P23_T,,,"Gel applied, first_paddle_taken, second_paddle_taken, paddles_firmly_on_chest, both_paddle_buttons_pressed, shock_delivered_on_screen, paddles_removed_after_shock"
info,missing_event_tags,defibliration2.zip,task_20,P24_LL,,,"both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,defibliration2.zip,task_19,P24_LS,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_18,P24_T,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_17,P25_LL,,,"both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,defibliration2.zip,task_16,P25_LS,,,"Gel applied, first_paddle_taken, second_paddle_taken, paddles_firmly_on_chest, both_paddle_buttons_pressed, shock_delivered_on_screen, paddles_removed_after_shock"
info,missing_event_tags,defibliration2.zip,task_15,P25_T,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_14,P26_LL,,,"both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,defibliration2.zip,task_13,P26_LS,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_12,P26_T,,,shock_delivered_on_screen
info,missing_event_tags,defibliration2.zip,task_11,P27_LL,,,"both_paddle_buttons_pressed, shock_delivered_on_screen"
info,missing_event_tags,defibliration2.zip,task_9,P27_T,,,"paddles_firmly_on_chest, shock_delivered_on_screen"
info,missing_event_tags,defibliration2.zip,task_8,P28_LL,,,shock_delivered_on_screen
